,contract_address,contract_type
123,0x7874396744ffc1d15360bef34cb185d192cc0144,ERC721
124,0x97ed2b3afccd158fac7e341ccbcd046a2b9e8d8b,ERC1155
125,0xbc77950857a41701bac0c8fd0c0be33553cc8b80,ERC721
126,0xd82547207fd9f329c58b8bf9c1599c67dde54ddd,ERC721
127,0xe3aa3f84c7b70d7f02afb87ac2695751d2d1e31a,ERC721
128,0x38936df539c2773877f7df1d84d8d8740f44af00,ERC1155
129,0x39ac5d8a7703e4d690d938dc0e5fb29f08bf58a9,ERC1155
130,0x3afd85d84c1688bd90d45e91832d17a571b43a23,ERC1155
131,0x12673f4894d49e46ac16e9efbef11a795b361b34,ERC1155
132,0x1788ecd11460e02546d9c44df700e418d6a7aeec,ERC1155
133,0x46868613b6a0a6020ef07d732190febb4d37e989,ERC1155
134,0x4cc2cff9f35ca22c93bf48dac6c1c7d02a740b58,ERC1155
135,0x62881d6d596da2190b47d342e757b9cc8d9a0384,ERC1155
136,0x68cd0f5be82845d85cdac1c561413d7643ff7761,ERC1155
137,0x6932414c21224eb518b076049443699bb502d224,ERC1155
138,0x69aa349d33887894c273daf8c175a22c58036811,ERC1155
139,0x6f82fbfaafae6a2677ca6ce228a6121cf3ca84ec,ERC1155
140,0xa4ae63b2b2c234e6f24ced89b10da5bcf2d87395,ERC1155
141,0x00e711094c351d1bb43123ccf8ed47230444a72f,ERC1155
142,0xb44fd8bffd45050a81f3eedb99c1abcdecc5a61e,ERC1155
143,0xbc39cf66b7806c26960128983fbf0d0344865c53,ERC1155
144,0xe13b6ec4b71c986368602835ccee470b1846b655,ERC1155
145,0xc39bb58776b0a6deceb59215a223526c2735b549,ERC721
146,0xc449b0b5bfef78a7fe4d53060f4abcb9805f3152,ERC1155
147,0xc7351806af70febfc7760912bdb99ee470fa9894,ERC1155
148,0xd85b70593b6253d9946b2f007d2480d56de520e8,ERC1155
149,0xde9545d5175b19d79924bf05bc85968c04601bd9,ERC1155
150,0x91f73696f780325305c8867979cd83d4bf564088,ERC1155
151,0x95ab50515d27ca7b83b9bdb67fd41d7bb0f1cc78,ERC1155
152,0xe91b0c0d0a2bf4379237b87f411f937e49049342,ERC1155
153,0xfa4a7aa451d13c6d153f46bcef9ddd5a6ce61a1c,ERC1155
